url,views,likes,shares,comments_count,hashtags,date_posted
https://www.tiktok.com/@aminehelmi/video/7468783532492672261,36800,36800,579,480,"#بوسالم, #بسم_الله_الرحمن_الرحيم, #الشعب_الصيني_ماله_حل😂😂, #تونس, #ليبيا, #الجزائر, #فيهذااليوم, #photography, #🇹🇳🇩🇿🇲🇦🇱🇾🇪🇬",08-02-2025
https://www.tiktok.com/@nourmar5/video/7470177052369407239,128800,128900,7353,3309,"#جلادين, #نورمار",12-02-2025
https://www.tiktok.com/@mortadha_photography/video/7469493464086924550,37600,37600,949,404,"#challenge, #تونس🇹🇳, #fypシ゚, #Vlog, #challenges, #mortadha_photo, #defi, #تونس, #gabes, #اكسبلور",10-02-2025
https://www.tiktok.com/@soniaadouani9/video/7445961651825773830,18200,18200,32100,4173,,14-02-2025
https://www.tiktok.com/@yosramanaii/video/7469165327130152197,45400,45400,414,383,,09-02-2025
https://www.tiktok.com/@maryam.hamami/video/7450935698326113541,82300,82300,5479,1217,"#حمام_تونسي, #تونس, #قرطاج, #زواج, #مريم_الهمامي, #تونسية🇹🇳🇹🇳, #ليبيا, #loveyou, #bridetobe2024, #bride, #lifestyle",08-02-2025
https://www.tiktok.com/@tulipp087/video/7454696711806520584,34500,34500,522,171,"#رفيق, #ندى_عبيد, #علاء",12-02-2025
https://www.tiktok.com/@sarrarokbani6/video/7459686677129301253,24700,24700,1127,247,,14-02-2025
https://www.tiktok.com/@foufa_mohamed0/video/7468040379313491205,17300,17300,439,225,,08-02-2025
https://www.tiktok.com/@mohamed.bouglia/video/7440891241807547703,63500,63500,6866,491,,11-02-2025
https://www.tiktok.com/@menyarbenhsan/video/7451374954303474950,36600,36600,4023,812,", , ",08-02-2025
https://www.tiktok.com/@gaffousa1/video/7469843452583234858,37500,37500,3890,669,", , , ",08-02-2025
https://www.tiktok.com/@haythemhajhassen/video/7467622190490373382,33700,33700,4467,521,,08-02-2025
